
*********************************************************************

   Se leyeron los datos del archivo: ENTRADA.TXT
   Se graba la salida en el archivo: SALIDA.TXT

*********************************************************************

*****************************************************
*CASODEPRUEBAPARAELCAREMCONXENONYQUEMADO*
*****************************************************

Cálculo estático de flujo y K efectivo
BETA =  1.65

 IT  Conv Flujo    Conv Keff      Kefectivo     Sigma       Omega
  1  2.2994E+01    3.1181E-01      1.453085   22.99388      1.000
  2  9.7246E-01    3.9235E-02      1.512425    0.04229      1.000
  3  1.4031E+00    3.2666E-01      1.140025    1.44282      1.000
  4  1.5384E+00    2.5224E-01      0.910388    1.09645      1.000
  5  1.0023E+00    1.1539E-01      0.816209    0.65154      1.000
  6  1.2438E+00    4.9338E-02      0.858569    1.24091      1.000
  7  2.4564E-01    1.0939E-01      0.964026    0.19749      1.000
  8  2.8766E-01    4.2119E-02      1.006415    1.17109      1.000
  9  1.4985E-01    1.4782E-02      1.021515    0.52093      1.000
 10  7.5729E-02    1.0873E-02      1.010528    0.50535      1.000
 11  7.2024E-02    2.0949E-02      0.989793    0.95108      1.000
 12  4.2713E-02    5.6016E-03      0.984280    0.59304      1.000
 13  3.1967E-02    2.4143E-03      0.981909    0.74841      1.000
 14  2.3492E-02    4.7705E-03      0.986616    0.73489      1.000
 15  1.8825E-02    3.2292E-03      0.989812    0.80131      1.000
 16  1.5798E-02    1.2859E-03      0.991086    0.83925      1.000
 17  1.3323E-02    2.8381E-05      0.991058    0.84333      1.000
 18  1.1786E-02    1.2243E-03      0.989846    0.88460      1.000
 19  1.0242E-02    2.5290E-04      0.989596    0.86904      1.000
 20  9.3582E-03    2.6854E-04      0.989330    0.91368      1.000
 21  8.4037E-03    3.6310E-04      0.989690    0.89800      1.000
 22  7.7126E-03    3.1246E-04      0.989999    0.91776      1.000
 23  7.1705E-03    1.6945E-04      0.990167    0.92971      1.000
 24  6.6383E-03    1.1527E-04      0.990281    0.92578      1.000
 25  6.2976E-03    6.1722E-05      0.990220    0.94867      1.000
 26  5.8571E-03    3.6376E-05      0.990256    0.93006      1.000
 27  5.5582E-03    3.3576E-05      0.990289    0.94898      1.000
 28  5.2955E-03    3.6389E-05      0.990325    0.95273      1.000
 29  4.9735E-03    5.1089E-05      0.990376    0.93919      1.000
 30  4.7539E-03    1.8451E-05      0.990358    0.95585      1.000
 31  4.5144E-03    2.8996E-05      0.990329    0.94962      1.000
 32  4.2768E-03    3.8088E-05      0.990291    0.94737      1.000
 33  4.0844E-03    5.3459E-05      0.990238    0.95501      1.000
 34  3.8757E-03    4.1277E-05      0.990197    0.94890      1.000
 35  3.6833E-03    4.8812E-05      0.990149    0.95036      1.000
 36  3.4898E-03    4.4861E-05      0.990105    0.94748      1.000
 37  3.2758E-03    3.1424E-05      0.990074    0.93867      1.000
 38  3.0885E-03    2.1819E-05      0.990052    0.94281      1.000
 39  2.8990E-03    6.0612E-06      0.990046    0.93864      1.000
 40  2.7360E-03    2.0051E-06      0.990044    0.94379      1.000
 41  2.6020E-03    4.5251E-06      0.990039    0.95102      1.000
 42  2.4768E-03    1.0681E-05      0.990029    0.95188      1.000
 43  2.3607E-03    1.7176E-05      0.990012    0.95311      1.000
 44  2.2443E-03    1.7504E-05      0.989995    0.95070      1.000
 45  2.1260E-03    1.5353E-05      0.989979    0.94731      1.000
 46  2.0118E-03    1.1086E-05      0.989968    0.94628      1.000
 47  1.9066E-03    8.2125E-06      0.989960    0.94772      1.000
 48  1.8076E-03    7.7959E-06      0.989953    0.94805      1.000
 49  1.7150E-03    8.2858E-06      0.989944    0.94878      1.000
 50  1.6276E-03    9.0063E-06      0.989935    0.94903      1.000
 51  1.5418E-03    8.7873E-06      0.989927    0.94728      1.000
 52  1.4599E-03    7.8855E-06      0.989919    0.94687      1.000
 53  1.3821E-03    6.5689E-06      0.989912    0.94675      1.000
 54  1.3077E-03    5.5050E-06      0.989907    0.94614      1.000
 55  1.2381E-03    4.9308E-06      0.989902    0.94682      1.000
 56  1.1724E-03    4.5134E-06      0.989898    0.94686      1.000
 57  1.1100E-03    4.3065E-06      0.989893    0.94685      1.000
 58  1.0511E-03    4.0247E-06      0.989889    0.94692      1.000
 59  9.9492E-04    3.5709E-06      0.989886    0.94653     18.839
 60  1.9020E-04    1.0613E-04      0.989781    0.19117      1.000
 61  1.9631E-04    3.0508E-05      0.989811    1.03217      1.000
 62  1.7244E-04    2.5073E-05      0.989836    0.87839      1.000
 63  1.4111E-04    4.7726E-06      0.989831    0.81834      1.000
 64  1.3751E-04    2.3686E-05      0.989854    0.97449      1.000
 65  1.1124E-04    1.0672E-05      0.989844    0.80893      1.000
 66  9.7382E-05    3.1406E-06      0.989847    0.87543      1.000
 67  8.6242E-05    8.4423E-07      0.989846    0.88560      1.000
 68  7.4574E-05    6.7721E-07      0.989846    0.86470      1.000
 69  6.8625E-05    4.1051E-06      0.989850    0.92024      1.000
 70  6.0143E-05    3.9799E-07      0.989850    0.87640      1.000
 71  5.3935E-05    2.1948E-06      0.989852    0.89677      1.000
 72  4.7411E-05    7.4220E-07      0.989853    0.87905      1.000
 73  4.1934E-05    5.7816E-07      0.989853    0.88447      1.000
 74  3.7368E-05    8.6771E-07      0.989854    0.89112      1.000
 75  3.3006E-05    4.9877E-07      0.989855    0.88328      1.000
 76  2.9199E-05    7.8602E-07      0.989856    0.88464      1.000
 77  2.5952E-05    5.9496E-07      0.989856    0.88882      1.000
 78  2.2977E-05    5.1802E-07      0.989857    0.88535      1.000
 79  2.0242E-05    5.0109E-07      0.989857    0.88095      1.000
 80  1.7777E-05    3.7667E-07      0.989858    0.87821      1.000
 81  1.5759E-05    3.8019E-07      0.989858    0.88650      1.000
 82  1.3783E-05    3.3302E-07      0.989858    0.87461      1.000
 83  1.2122E-05    2.9687E-07      0.989859    0.87946      1.000
 84  1.0622E-05    2.6503E-07      0.989859    0.87627      1.000
 85  9.2849E-06    2.2773E-07      0.989859    0.87413      1.000
 86  8.1533E-06    1.9933E-07      0.989859    0.87812      1.000
 87  7.1346E-06    1.6736E-07      0.989859    0.87505      1.000
 88  6.2142E-06    1.5462E-07      0.989860    0.87100      1.000
 89  5.4530E-06    1.3952E-07      0.989860    0.87751      1.000
 90  4.7630E-06    1.1702E-07      0.989860    0.87346      1.000
 91  4.1536E-06    1.0587E-07      0.989860    0.87204      1.000
 92  3.5974E-06    9.6341E-08      0.989860    0.86610      1.000
 93  3.1392E-06    7.8260E-08      0.989860    0.87264      1.000
 94  2.7490E-06    6.6767E-08      0.989860    0.87570      1.000
 95  2.3755E-06    6.4086E-08      0.989860    0.86411      1.000
